Epic,Story ID,Story Title,Description,Estimate (d),Phase,Status,Owner,Depends,AC IDs,Tests,LastReviewed
Android Player,AND-PLAYER-02,MediaSession & PiP,"Plan background playback notification and PiP",0.5,8,,,,,,
Android Player,AND-PLAYER-03,Up Next & analytics,"Specify Up Next queue and instrumentation",0.4,8,,,,,,
Downloads,AND-DL-01,Download queue & storage,"Document WorkManager queue and storage quotas",0.5,9,,,,,,
Downloads,AND-DL-02,EULA gate & policy,"Plan EULA acceptance gating for downloads",0.4,9,,,,,,
Downloads,AND-DL-03,Offline QA & telemetry,"Build QA matrix and telemetry for offline playback",0.4,9,,,,,,
Hardening,HARDEN-01,Caching & performance,"Finalize caching strategy and perf budgets",0.5,10,,,,,,
Hardening,HARDEN-02,Security sweep,"Execute pen-test checklist and mitigation plan",0.5,10,,,,,,
Hardening,HARDEN-03,Observability & SLOs,"Define SLIs/SLOs and instrumentation",0.4,10,,,,,,
Localization,QA-L10N-01,Localization audit,"Run en/ar/nl QA pass and capture findings",0.4,11,,,,,,
Accessibility,QA-A11Y-01,Accessibility verification,"Conduct TalkBack/axe-core sweeps",0.4,11,,,,,,
Compliance,QA-COMP-01,Compile compliance report,"Publish Phase 11 compliance summary",0.3,11,,,,,,
Launch,LAUNCH-01,Telemetry & crash reporting,"Enable analytics/crash tooling and dashboards",0.5,12,,,,,,
Launch,LAUNCH-02,Beta program execution,"Coordinate closed beta cohort and triage",0.4,12,,,,,,
Launch,LAUNCH-03,Launch checklist & rollback,"Produce go-live checklist and rollback plan",0.5,12,,,,,,
Backend Planning,BACK-PLAN-06,Search aggregation contract,"Define admin search response schema and toggle state semantics",0.5,2,,,,,,
Frontend,FRONT-THEME-01,Dark-mode tokens + component mappings,"Deliver tokenized palette (light/dark) and map Admin views/components to tokens.",0.5,3,DONE,Frontend,,AC-A11Y-002,frontend/tests/ThemeTokens.spec.ts,2025-09-30
Frontend,FRONT-NAV-01,Canonical bottom tabs + icons,"Create single config and reusable tab bar; ensure consistent icons/labels across surfaces.",0.4,3,DONE,Frontend,,,"frontend/tests/MainTabBar.spec.ts",2025-09-30
Backend,BACK-CAT-04,Category subcategories (optional),"Extend Category with optional Subcategory[]; update DTOs, migration, services; update schemas.",1,2,DONE,Backend,BACK-PLAN-03,AC-REG-003,backend/src/test/java/com/albunyaan/tube/admin/CategoryManagementIntegrationTest.java,2025-09-30
QA,QA-ADMIN-01,Admin theme application tests,"Add unit/UI tests validating token application and tab icon consistency.",0.25,3,DONE,QA,FRONT-THEME-01|FRONT-NAV-01,AC-A11Y-002,"frontend/tests/ThemeTokens.spec.ts; frontend/tests/MainTabBar.spec.ts",2025-09-30
